30 0.00000000 0.99094203 9.51838541 30
30 0.00000000 0.98381778 13.02320027 42
30 0.00000000 0.98122887 11.33603001 36
30 0.00000000 0.98994857 34.04682517 108
30 0.00000000 0.99161233 17.72454810 56
30 0.00000000 0.98493347 14.96865296 48
30 0.00000000 0.98540386 27.10821319 87
30 0.00000000 0.97688804 12.33536720 39
30 0.00000000 0.99031364 14.81174207 47
30 0.00000000 0.99002542 116.17302322 382
30 0.00000000 0.98852947 15.62998748 50
30 0.00000000 0.98117499 20.33958006 66
30 0.00000000 0.99089234 11.79989600 38
30 0.00000000 0.97913362 20.44807434 66
30 0.00000000 0.99010050 43.62468696 146
30 0.00000000 0.98024393 15.93559980 51
30 0.00000000 0.99130867 27.28467035 89
30 0.00000000 0.98835159 8.16781282 26
30 0.00000000 0.96954489 10.97403193 35
30 0.00000000 0.98648854 26.42511845 84
30 0.00000000 0.99010302 25.72708797 83
30 0.00000000 0.98801347 14.41720080 46
30 0.00000000 0.98773208 25.88093519 83
30 0.00000000 0.99018229 12.17850518 39
30 0.00000000 0.98377967 13.91665387 44
30 0.00000000 0.98451843 14.06716609 44
30 0.00000000 0.97607475 12.45093369 39
30 0.00000000 0.98335377 30.58888316 97
30 0.00000000 0.99014127 22.01732659 75
30 0.00000000 0.98626398 28.66364455 92
30 0.00000000 0.98564694 16.35807776 53
30 0.00000000 0.98456479 20.57354021 68
30 0.00000000 0.99198882 20.89108968 69
30 0.00000000 0.98053471 14.83661747 49
30 0.00000000 0.96915670 10.68795347 35
30 0.00000000 0.98372009 13.71571803 45
30 0.00000000 0.98932020 24.73636746 81
30 0.00000000 0.98355210 12.23402667 39
30 0.00000000 0.97852281 13.65928912 44
30 0.00000000 0.97472970 9.08447385 29
30 0.00000000 0.98842179 20.18628716 68
30 0.00000000 0.97826654 11.93931818 39
30 0.00000000 0.99179772 3.28683734 10
30 0.00000000 0.98540068 24.47382808 80
30 0.00000000 0.98004636 9.21529341 30
30 0.00000000 0.98658659 20.45354152 64
30 0.00000000 0.98936304 16.36311722 51
30 0.00000000 0.98544705 12.88998437 41
30 0.00000000 0.97951827 11.09087443 34
30 0.00000000 0.98426674 14.69508839 46
