40 0.00000000 0.99158048 4.78478694 12
40 0.00000000 0.99176606 5.17857647 13
40 0.00000000 0.99055202 9.38226938 24
40 0.00000000 0.99457163 5.86691260 15
40 0.00000000 0.99299139 2.18347526 5
40 0.00000000 0.99607688 4.32466745 11
40 0.00000000 0.99000920 5.06986046 13
40 0.00000000 0.99286328 4.05298638 10
40 0.00000000 0.99059795 7.95809507 21
40 0.00000000 0.99090503 7.69246006 20
40 0.00000000 0.99587113 3.32498169 8
40 0.00000000 0.99061185 6.11854482 16
40 0.00000000 0.99688737 3.61202598 9
40 0.00000000 0.99189263 5.06922603 13
40 0.00000000 0.99255742 3.64906168 9
40 0.00000000 0.99735790 2.91199303 7
40 0.00000000 0.99207545 5.03436136 13
40 0.00000000 0.99077978 8.94171500 24
40 0.00000000 0.99032291 4.67999578 12
40 0.00000000 0.99457206 4.98430061 12
40 0.00000000 0.99159057 6.37390327 16
40 0.00000000 0.99305435 8.52329993 21
40 0.00000000 0.99539578 6.69423318 17
40 0.00000000 0.99306551 6.29310560 16
40 0.00000000 0.99512175 8.53119969 22
40 0.00000000 0.99157454 2.99547243 7
40 0.00000000 0.99637505 2.68390107 6
40 0.00000000 0.99155068 5.60230637 14
40 0.00000000 0.99587949 3.70593619 9
40 0.00000000 0.98951622 18.64615870 48
40 0.00000000 0.99140440 6.48201656 16
40 0.00000000 0.99303177 8.60780501 22
40 0.00000000 0.99255065 4.50021148 11
40 0.00000000 0.99127882 4.53701901 11
40 0.00000000 0.99049089 4.22450566 10
40 0.00000000 0.99052859 3.04020882 7
40 0.00000000 0.99344718 2.99701500 7
40 0.00000000 0.99095943 4.85724068 12
40 0.00000000 0.99387340 5.65533710 14
40 0.00000000 0.99183465 4.63650489 11
40 0.00000000 0.99462697 7.46915770 19
40 0.00000000 0.99146089 8.39502382 21
40 0.00000000 0.99151550 1.16742587 2
40 0.00000000 0.99080706 4.87641788 12
40 0.00000000 0.99224133 5.47597218 13
40 0.00000000 0.99172998 6.31719112 16
40 0.00000000 0.99087478 4.81411290 12
40 0.00000000 0.99063597 4.70313597 11
40 0.00000000 0.98959073 9.04783392 23
40 0.00000000 0.99021991 7.44072032 19
